month;created;order_id;warehouse;latitude;longitude;delivery_fee
9;2021-09-25 16:43:19.418761;103202;A;-12.057616900000001;-77.0455407;0.0
9;2021-09-16 14:04:00.473244;94707;I;-12.208985954484199;-76.93947057722221;0.0
9;2021-09-16 19:14:55.044333;94925;E;-12.086405099999999;-77.0944586;0.0
9;2021-09-19 04:13:43.047996;96752;I;-12.233908326546901;-76.93629430338791;0.0
9;2021-09-01 16:51:57.325185;81009;G;-12.0619651;-76.93792009999999;0.0
9;2021-09-29 16:36:12.268477;105264;H;-12.0957145;-76.9730493;0.0
9;2021-09-14 04:50:12.927266;92177;H;-12.1213052;-77.03786740000001;0.0
9;2021-09-10 05:14:45.592508;88854;I;-12.1876952362044;-76.94659740638109;0.0
9;2021-09-08 16:20:48.966622;87360;H;-12.159388400000001;-76.9934516;0.0
9;2021-09-30 22:00:25.570345;105878;A;-12.072280699999999;-77.0735562;0.0
9;2021-09-22 07:50:08.872248;100509;E;-12.0894757;-77.06285079999999;6.0
9;2021-09-07 05:42:31.687218;85556;F;-12.114332300000001;-77.02641109999999;3.0
9;2021-09-09 14:41:53.221414;88483;F;-12.121697900000001;-77.0360575;0.0
9;2021-09-05 13:41:46.061242;84157;H;-12.140437400000001;-76.9892562;3.0
9;2021-09-15 06:42:24.383575;93215;A;-12.078818199999999;-77.0576031;0.0
9;2021-09-14 10:35:55.293026;92478;K;-12.067285499999999;-76.9409675;0.0
9;2021-09-08 16:49:33.497481;87411;H;-12.1135965;-76.9725214;0.0
9;2021-09-15 10:37:19.900566;93476;A;-12.089665;-77.03331949999999;6.0
9;2021-09-04 13:39:21.258988;83492;F;-12.1121633;-77.05033259999999;6.0
9;2021-09-21 16:36:07.30512;99931;G;-12.072817;-76.9843978;0.0
9;2021-09-04 09:53:13.470518;83344;F;-12.1197781;-77.03947740000001;6.0
9;2021-09-09 11:20:15.701334;88246;G;-12.043421;-76.98176070000001;0.0
9;2021-09-23 04:24:38.652952;101162;H;-12.1149966;-76.9944832;0.0
9;2021-09-25 06:09:44.711176;102851;K;-12.1139854;-76.9407931;0.0
9;2021-09-14 11:31:54.737202;92527;A;-12.048247005454199;-77.049219024228;0.0
