id;name;parent_id
554;-1407582367293391184;552.0
552;-8612551855689745213;485.0
535;9105557098990754691;536.0
750;4943875317214865417;748.0
813;-623965960412348257;812.0
497;2839006474659521045;498.0
536;-1238873465995248555;485.0
539;-3342566994225888144;540.0
541;-6803369538664623954;540.0
522;-9099138792167829099;521.0
523;6282422480190555922;521.0
524;-3841743260935567467;521.0
496;-290415798415568190;497.0
499;-266521205500496847;497.0
500;-6167021134668855789;497.0
502;-3473500637782555431;497.0
814;-901871422117880662;812.0
515;-7142570259746866495;513.0
751;3734636097071769228;497.0
655;-1810050373098230628;513.0
513;7505940456285393302;498.0
517;1379762180965907653;518.0
519;6264826706083023976;518.0
518;5550985983417807330;498.0
498;2562950338064621654;
831;-3074321320792008265;827.0
581;-6215655535641204912;
815;-4011860123726188148;812.0
648;796393831470332024;581.0
752;6465589222290203817;484.0
832;-1968594880137707958;827.0
816;8631665588583690223;463.0
833;8954224867534176313;463.0
817;6755194714083252637;816.0
834;5980951371505074719;809.0
818;5994553432290661112;816.0
835;-5460395593734750524;809.0
584;8222663530072350660;585.0
587;6063256090002660229;585.0
585;-2238336544035749824;586.0
589;3745075975252406366;590.0
591;6268544956174395433;590.0
592;-7690692174812353097;590.0
594;-3953543204941896109;595.0
555;-4127129811173107618;529.0
566;6203235939222296791;529.0
567;-5398589600861303081;529.0
568;1034333352944101188;529.0
569;-5168497201291905378;529.0
570;-467862263424114155;529.0
571;6879061411147106305;529.0
572;-798823059289835831;529.0
647;5597483478267673872;529.0
559;660336384214310241;460.0
560;4246723801367073878;460.0
561;-7255260168854983988;562.0
562;-699605656976063360;460.0
563;-7690947908724913931;564.0
565;1283686579289312083;564.0
564;-7063095505422819435;460.0
460;-8667233864687818635;
650;1441859451412149143;459.0
649;3491216208783050377;529.0
529;7944030189948001111;460.0
556;-4888386233947121971;557.0
557;8069802296004988461;460.0
558;7708330777057013585;559.0
