id;name;parent_id
836;-1817367975228110723;809.0
456;-7480110205617390424;457.0
802;-8775857493004245285;498.0
458;101137643997099481;457.0
459;5136749535643803342;460.0
629;-8384770084002140414;626.0
739;-2112842407080430700;581.0
573;4227141052515028045;529.0
849;2492702571546073661;
630;3527972342382093762;626.0
731;4387353105200332777;581.0
636;3014033508196689150;626.0
626;6093441048269529178;586.0
580;-1101160300613207129;581.0
638;1703906292143031598;634.0
582;5042973120548145519;581.0
819;5483372639385167222;743.0
583;-7852404093352926664;581.0
633;-1778601522856566433;634.0
635;6273924298960351612;634.0
611;-813599229814858087;634.0
637;1763806757354013466;634.0
639;8615657745348381612;634.0
612;-8123549537297783817;634.0
632;-6155853100611600365;634.0
634;7445812229718383895;586.0
640;1246800639893869980;586.0
765;3064354287492294674;615.0
753;-4453520419643014276;510.0
457;7036779727822267132;
757;6692909099425556268;745.0
528;-2485497944155193240;529.0
820;8941376531494283518;819.0
837;-8664341453554447854;833.0
510;5010285266561923097;498.0
732;-6779494147185832694;559.0
512;-5393835276874907547;513.0
514;-9038524116744929612;513.0
516;3511699180659249228;513.0
740;-8225563733265125886;739.0
803;8478282165379562538;802.0
586;-509452494506359463;
617;-5233917879004435280;614.0
618;-277261115383696181;614.0
619;-5356529584050864405;614.0
616;-5602327090657603708;614.0
597;2371982402582310434;614.0
509;1130089105745380248;510.0
511;1116614879227635951;510.0
754;7585892461583885601;510.0
620;-8607213407704349179;614.0
614;7781891121738932435;586.0
621;-5249053342534559883;622.0
623;2937920651894743895;622.0
624;-7908950907147806463;622.0
622;-1149140454035242848;586.0
625;-4395556252802133175;626.0
627;-3283823627219144512;626.0
628;6119623886722099072;626.0
652;-3330320816600089163;521.0
653;8392210843374622898;521.0
741;-5856920333519628548;580.0
755;-3038289799254266430;462.0
821;-4254271430402722871;819.0
759;-4795080688326505732;529.0
838;6602040125805325939;833.0
485;-4852063216319292681;
804;-2261810904057322614;802.0
521;1510944160418546884;485.0
525;-4025840836547185935;526.0
527;-6016394627476324923;526.0
657;-6970657532054928095;526.0
542;2421788638296375390;540.0
540;1040548432137160001;485.0
530;-5317742225420542193;531.0
532;5062194161799501550;531.0
533;-3668444599320071536;531.0
534;7369602614735248534;531.0
531;-4239642789793205740;485.0
733;3237395681775118030;521.0
742;-8918075913682380466;580.0
